115,12,0 : 7,0 : 59,1,4,1,1500,0,1,3
116,19,0 : 8,0 : 3,1,4,1,4800,150,1,high
115,13,0 : 8,0 : 50,1,4,1,1800,0,1,high
115,14,0 : 6,0 : 39,1,3,1,2100,0,1,medium
115,15,0 : 8,0 : 30,1,3,1,2400,0,1,high
115,16,0 : 8,0 : 21,1,4,1,2700,0,1,high
115,17,0 : 7,0 : 11,1,0,1,3200,0,0,medium
115,18,0 : 7,0 : 1,1,0,0,3200,50,0,3
117,1,0 : 6,2 : 50,0,0,0,500,0,0,low
117,2,0 : 8,2 : 41,0,0,0,500,0,0,low
117,3,0 : 8,2 : 32,0,0,0,500,0,0,low
117,4,0 : 8,2 : 23,0,0,0,500,0,0,low
117,5,0 : 8,2 : 14,0,0,0,500,0,0,low
117,6,0 : 8,2 : 5,0,0,1,1000,0,0,low
117,7,0 : 7,1 : 55,0,0,0,1000,0,0,low
117,8,0 : 9,1 : 47,0,3,0,800,0,1,low
117,9,0 : 8,1 : 38,0,4,0,600,0,1,low
117,10,0 : 8,1 : 29,1,4,1,900,0,1,low
117,11,0 : 8,1 : 20,1,4,1,1200,0,1,low
117,12,0 : 9,1 : 12,0,4,0,1000,0,1,low
118,1,0 : 8,2 : 52,0,0,0,500,0,0,low
118,2,0 : 8,2 : 43,0,0,1,1000,0,0,high
118,3,0 : 3,2 : 29,0,0,0,1000,0,0,medium
118,4,0 : 8,2 : 20,0,0,1,1500,0,0,high
120,1,0 : 6,2 : 50,0,0,0,500,0,0,medium
120,3,0 : 8,2 : 41,0,0,1,1000,50,0,high
120,4,0 : 7,2 : 31,0,0,1,1500,50,0,medium
120,5,0 : 4,2 : 18,0,0,0,1500,100,0,high
120,7,0 : 8,2 : 9,0,0,1,2000,100,0,high
120,8,0 : 7,1 : 59,0,0,1,2500,100,0,high
120,9,0 : 6,1 : 48,0,0,1,3000,150,0,3
120,10,0 : 5,1 : 36,0,0,1,3500,150,0,3
120,11,0 : 7,1 : 26,0,0,1,4000,100,0,high
120,12,0 : 7,1 : 16,0,0,1,4500,150,0,high
120,13,0 : 7,1 : 6,0,0,0,4500,150,0,high
120,14,0 : 9,0 : 58,0,0,1,5000,150,0,high
120,15,0 : 8,0 : 49,0,0,1,5500,200,0,high
120,16,0 : 6,0 : 38,0,0,1,6000,200,0,3
120,17,0 : 8,0 : 29,0,0,1,6500,200,0,high
120,18,0 : 7,0 : 19,0,0,1,7000,200,0,high
120,19,0 : 8,0 : 10,0,0,1,7500,200,0,high
121,1,0 : 7,2 : 51,0,0,1,1000,0,0,2
121,2,0 : 7,2 : 41,0,0,0,1000,0,0,low
121,3,0 : 7,2 : 31,0,0,0,1000,0,0,medium
121,4,0 : 8,2 : 22,0,0,1,1500,0,0,high
121,5,0 : 8,2 : 13,0,0,1,2000,0,0,high
121,6,0 : 6,2 : 2,0,0,0,2000,0,0,medium
121,7,0 : 8,1 : 53,0,0,1,2500,0,0,high
121,9,0 : 7,1 : 43,0,0,0,2500,0,0,medium
121,10,0 : 7,1 : 33,0,0,0,2500,0,0,medium
121,11,0 : 6,1 : 22,0,0,0,2500,0,0,low
121,12,0 : 7,1 : 12,0,0,0,2500,0,0,medium
121,13,0 : 8,1 : 3,0,0,1,3000,0,0,medium
121,14,0 : 1,0 : 47,0,0,0,3000,0,0,medium
121,15,0 : 4,0 : 34,0,0,0,3000,0,0,2
121,16,0 : 6,0 : 23,0,0,0,3000,50,0,2
121,17,0 : 8,0 : 14,0,0,1,3500,50,0,medium
121,18,0 : 6,0 : 3,0,0,1,4000,100,0,2
122,1,0 : 7,2 : 51,0,0,1,1000,0,0,high
122,2,0 : 7,2 : 41,0,0,1,1500,0,0,high
122,3,0 : 5,2 : 29,0,0,0,1500,0,0,2
122,4,0 : 6,2 : 18,0,0,0,1500,0,0,low
122,5,0 : 5,2 : 6,0,0,0,1500,0,0,high
122,6,0 : 7,1 : 56,0,0,0,1500,0,0,high
122,7,0 : 6,1 : 45,0,0,0,1500,0,0,high
122,8,0 : 5,1 : 33,0,0,0,1500,50,0,low
122,9,0 : 8,1 : 24,0,2,0,1300,50,1,high
122,10,0 : 4,1 : 11,1,0,0,1300,50,0,medium
122,11,0 : 5,0 : 59,0,3,0,1100,50,1,low
122,12,0 : 8,0 : 50,0,0,0,1100,50,0,medium
122,13,0 : 16,0 : 49,0,0,0,1100,50,0,medium
122,14,0 : 8,0 : 40,1,0,1,1600,50,0,high
122,16,0 : 8,0 : 31,0,0,0,1600,100,0,2
122,17,0 : 8,0 : 22,1,0,1,2100,100,0,high
122,18,0 : 5,0 : 10,0,0,0,2100,100,0,high
123,1,0 : 7,2 : 51,0,0,1,1000,0,0,medium
123,2,0 : 8,2 : 42,0,0,0,1000,0,0,medium
123,3,0 : 3,2 : 28,0,0,0,1000,0,0,2
123,4,0 : 6,2 : 17,0,0,0,1000,0,0,2
123,5,0 : 8,2 : 8,0,0,1,1500,0,0,high
123,6,0 : 7,1 : 58,0,0,1,2000,0,0,medium
123,7,0 : 8,1 : 49,0,0,0,2000,50,0,3
123,8,0 : 8,1 : 40,0,0,1,2500,50,0,high
123,9,0 : 8,1 : 31,0,0,1,3000,50,0,high
123,10,0 : 9,1 : 23,0,0,1,3500,50,0,high
123,11,0 : 6,1 : 12,0,0,1,4000,50,0,high
123,12,0 : 7,1 : 2,0,0,1,4500,100,0,high
123,13,0 : 5,0 : 50,0,0,1,5000,100,0,high
123,14,0 : 8,0 : 41,0,0,0,5000,100,0,low
123,15,0 : 8,0 : 32,0,0,1,5500,100,0,high
123,16,0 : 8,0 : 23,0,0,1,6000,150,0,high
123,17,0 : 8,0 : 14,0,0,1,6500,150,0,high
123,18,0 : 7,0 : 4,0,0,1,7000,150,0,high
124,1,0 : 8,2 : 52,0,0,1,1000,0,0,high
124,2,0 : 8,2 : 43,0,0,0,1000,0,0,medium
124,3,0 : 9,2 : 35,0,0,0,1000,0,0,high
124,4,0 : 8,2 : 26,0,0,0,1000,0,0,medium
124,5,0 : 7,2 : 16,0,0,0,1000,0,0,medium
124,6,0 : 8,2 : 7,0,4,1,1300,50,1,low
124,7,0 : 8,1 : 58,0,2,1,1600,100,1,high
124,8,0 : 7,1 : 48,0,4,0,1400,100,1,2
124,9,0 : 8,1 : 39,1,4,1,1700,100,1,high
124,10,0 : 8,1 : 30,0,4,1,2000,100,1,high
124,11,0 : 8,1 : 21,1,4,1,2300,100,1,high
124,12,0 : 8,1 : 12,1,2,1,2600,100,1,high
124,13,0 : 9,1 : 4,1,4,1,2900,100,1,high
124,14,0 : 8,0 : 55,0,2,1,3200,100,1,high
124,15,0 : 9,0 : 47,1,4,1,3500,100,1,high
124,16,0 : 8,0 : 38,1,2,1,3800,100,1,high
124,17,0 : 8,0 : 29,1,4,0,3600,100,1,low
124,18,0 : 8,0 : 20,1,2,0,3400,100,1,high
124,19,0 : 8,0 : 11,1,2,1,3700,100,1,high
124,20,0 : 8,0 : 2,1,0,1,4200,100,0,high
124,21,0 : 17,0 : 2,0,0,0,4200,150,0,high
124,22,0 : 17,0 : 2,0,0,0,4200,150,0,high
125,1,0 : 7,2 : 51,0,0,0,500,0,0,low
125,2,0 : 4,2 : 38,0,0,1,1000,0,0,high
125,3,0 : 5,2 : 26,0,0,1,1500,0,0,high
125,4,0 : 6,2 : 15,0,0,1,2000,0,0,high
125,5,0 : 8,2 : 6,0,0,0,2000,0,0,medium
125,6,0 : 5,1 : 54,0,0,1,2500,0,0,high
125,7,0 : 8,1 : 45,0,0,0,2500,0,0,3
125,8,0 : 6,1 : 34,0,0,0,2500,0,0,medium
125,9,0 : 6,1 : 23,0,0,1,3000,0,0,high
125,10,0 : 8,1 : 14,0,0,0,3000,0,0,low
125,11,0 : 8,1 : 5,0,0,0,3000,0,0,medium
125,12,0 : 5,0 : 53,0,0,1,3500,0,0,medium
125,13,0 : 7,0 : 43,0,0,0,3500,0,0,medium
125,14,0 : 8,0 : 34,0,0,1,4000,0,0,medium
125,15,0 : 6,0 : 23,0,0,0,4000,0,0,medium
125,16,0 : 7,0 : 13,0,0,1,4500,50,0,medium
125,17,0 : 5,0 : 1,0,0,1,5000,100,0,high
126,1,0 : 8,2 : 52,0,0,1,1000,0,0,low
126,2,0 : 8,2 : 43,0,0,1,1500,0,0,high
126,3,0 : 8,2 : 34,0,0,1,2000,0,0,high
126,4,0 : 6,2 : 23,0,0,0,2000,0,0,medium
126,5,0 : 7,2 : 13,0,0,1,2500,0,0,medium
126,6,0 : 8,2 : 4,0,0,1,3000,0,0,high
126,7,0 : 8,1 : 55,0,0,0,3000,0,0,low
126,8,0 : 5,1 : 43,0,0,1,3500,0,0,medium
126,9,0 : 8,1 : 34,0,0,1,4000,0,0,high
126,10,0 : 8,1 : 25,0,0,1,4500,0,0,high
126,11,0 : 8,1 : 16,0,0,1,5000,0,0,medium
126,12,0 : 8,1 : 7,0,0,0,5000,0,0,low
126,13,0 : 7,0 : 57,0,0,1,5500,0,0,high
126,14,0 : 8,0 : 48,0,0,1,6000,0,0,high
126,15,0 : 7,0 : 38,0,0,1,6500,0,0,high
126,16,0 : 8,0 : 29,0,0,1,7000,0,0,high
126,17,0 : 8,0 : 20,0,0,1,7500,50,0,high
126,18,0 : 8,0 : 11,0,0,1,8000,50,0,medium
126,19,0 : 9,0 : 3,0,0,1,8500,50,0,high
